AA799301_PROBE1	AA799301	Lgtn protein (DBSS)
AA891902_PROBE1	AA891902	ankyrin repeat hooked to a zinc finger motif long form (DBSS)
AA891922_PROBE1	AA891922	Ab1-152
AA891940_PROBE1	AA891940	Potentail helicase MOV-10 (DBSS)
AA891944_PROBE1	AA891944	interferon-g induced GTPase (MM.) (DBSS)
AA891949_PROBE1	AA891949	adenylate kinase 3-like 2
AA892044_PROBE1	AA892044	tubulin, beta, 2 (Hs.) (DBSS) (Non-specific probe)
AA892049_PROBE1	AA892049	germinal histone H4 gene (DBSS)
AA892127_PROBE1	AA892127	hypothetical LOC294390
AA892238_PROBE1	AA892238	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 (DBSS)
AA892240_PROBE1	AA892240	LOC361786
AA892250_PROBE1	AA892250	Kars protein (DBSS)
AA892271_PROBE1	AA892271	BCL2-like 13 (DBSS)
AA892273_PROBE1	AA892273	ESTs
AA892281_PROBE1	AA892281	RIKEN cDNA 1810037K07 (Mm.) (DBSS_strong)
AA892294_PROBE1	AA892294	ESTs
AA892298_PROBE1	AA892298	peptidylprolyl isomerase (cyclophilin)-like 3
AA892299_PROBE1	AA892299	FERM-domain-containing protein 163SCII
AA892300_PROBE1	AA892300	peroxisome biogenesis factor 5
AA892317_PROBE1	AA892317	Tara-like protein (Hs.) (DBSS_moderate)
AA892319_PROBE1	AA892319	ESTs
AA892325_PROBE1	AA892325	choline/ethanolaminephosphotransferase (Hs.) (DBSS_strong)
AA892330_PROBE1	AA892330	A230072I16Rik protein (DBSS)
AA892339_PROBE1	AA892339	hypothetical LOC299262
AA892346_PROBE1	AA892346	anaphase-promoting complex subunit 4 (DBSS)
AA892362_PROBE1	AA892362	ESTs
AA892364_PROBE1	AA892364	WW domain binding protein 11 (DBSS)
AA892366_PROBE1	AA892366	RIKEN cDNA 2810055F11 (DBSS)
AA892370_PROBE1	AA892370	synapse associated protein 1, SAP47 homolog (Drosophila) (Mm.) (DBSS)
AA892376_PROBE1	AA892376	associated with Prkcl1 (DBSS)
AA892483_PROBE1	AA892483	KIAA0877 protein (DBSS)
AA892496_PROBE1	AA892496	chimerin (chimaerin) 2
AA892500_PROBE1	AA892500	mKIAA0623 protein (DBSS)
AA892522_PROBE1	AA892522	Solute carrier family 25, member 30
AA892531_PROBE1	AA892531	proline-rich protein 15 (Rn.) (DBSS_weak)
AA892549_PROBE1	AA892549	Man9-mannosidase (DBSS)
AA892554_PROBE1	AA892554	RNA-binding protein isoform G3BP-2a (DBSS)
AA892567_PROBE1	AA892567	archain 1 (DBSS)
AA892770_PROBE1	AA892770	glutamate-cysteine ligase, catalytic subunit
AA892772_PROBE1	AA892772	F-box only protein 9 isoform 2; F-box protein Fbx9 (DBSS)
AA892778_PROBE1	AA892778	ESTs
AA892780_PROBE1	AA892780	sirtuin 7; sir2-related protein type 7 (DBSS)
AA892791_PROBE1	AA892791	excision repair cross-complementing rodent repair deficiency, complementation group 1 (DBSS)
AA892798_PROBE1	AA892798	uterine sensitization-associated gene 1 protein
AA892818_PROBE1	AA892818	START domain containing 8 (Hs.) (DBSS_strong)
AA892824_PROBE1	AA892824	tenascin C (Mm.) (DBSS)
AA892829_PROBE1	AA892829	ATP sulfurylase/APS kinase (DBSS)
AA892852_PROBE1	AA892852	hypothetical protein MGC28394 (DBSS)
AA892855_PROBE1	AA892855	rod outer segment membrane protein 1 (DBSS)
AA892864_PROBE1	AA892864	monoglyceride lipase
AA892897_PROBE1	AA892897	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2
AA892905_PROBE1	AA892905	myotrophin
AA892918_PROBE1	AA892918	tight junction protein 1
AA892922_PROBE1	AA892922	hypothetical protein MGC955 (DBSS)
AA892987_PROBE1	AA892987	TAFI95 (DBSS)
AA892993_PROBE1	AA892993	high mobility group 20 B (Mm.) (DBSS)
AA893164_PROBE1	AA893164	ESTs
AA893171_PROBE1	AA893171	WD repeat domain 8 (Mm.) (DBSS_strong)
AA893172_PROBE1	AA893172	ESTs
AA893184_PROBE1	AA893184	Ac1164 (DBSS)
AA893191_PROBE1	AA893191	phosphatidic acid phosphatase type 2c
AA893192_PROBE1	AA893192	ESTs
AA893193_PROBE1	AA893193	LOC361589
AA893208_PROBE1	AA893208	tex261 protein (Mm.) (DBSS)
AA893217_PROBE1	AA893217	ATPase, H+ transporting, V1 subunit A, isoform 1 (DBSS)
AA893230_PROBE1	AA893230	CLN6 protein (DBSS)
AA893237_PROBE1	AA893237	Hypothetical protein MGC18837 (DBSS)
AA893241_PROBE1	AA893241	putative mannosyltransferase (DBSS)
AA893251_PROBE1	AA893251	BTB (POZ) domain containing 1 (Hs.) (DBSS_strong)
AA893262_PROBE1	AA893262	Dual specificity protein phosphatase 11 (RNA/RNP complex-intereracting phosphatase) (Phosphatase that interacts with RNA/RNP complex 1) (DBSS)
AA893505_PROBE1	AA893505	RIKEN cDNA 6330408A02 gene (DBSS)
AA893517_PROBE1	AA893517	T42659 hypothetical protein DKFZp434K1815.1 (Hs.) (DBSS_moderate)
AA893532_PROBE1	AA893532	ESTs
AA893584_PROBE1	AA893584	hypothetical protein MGC10120 (DBSS)
AA893590_PROBE1	AA893590	Ariadne-2 protein homolog (ARI-2) (Triad1 protein) (HT005) (DBSS)
AA893596_PROBE1	AA893596	Ab2-008 (DBSS)
AA893610_PROBE1	AA893610	Ba1-643 (Non-specific probe)
AA893621_PROBE1	AA893621	cation-transporting atpase (DBSS)
AA893640_PROBE1	AA893640	glycoprotein IIb - rat (DBSS)
AA893708_PROBE1	AA893708	mKIAA0560 protein (DBSS)
AA893811_PROBE1	AA893811	RIKEN cDNA 1110007C24 (DBSS)
AA894030_PROBE1	AA894030	tyrosyl-DNA phodphodiesterase 1 (DBSS)
AA894080_PROBE1	AA894080	ESTs
AA894084_PROBE1	AA894084	ESTs
AA894092_PROBE1	AA894092	osteoblast specific factor 2 precursor (DBSS)
AA894099_PROBE1	AA894099	vacuolar protein sorting 4a (yeast)
AA894189_PROBE1	AA894189	tubulin, gamma complex associated protein 6; gamma-tubulin complex component (DBSS)
AA894210_PROBE1	AA894210	ESTs
AA894233_PROBE1	AA894233	apoptosis-inducing factor (AIF)-homologous mitochondrion-associated inducer of death; p53-responsive gene 3 (DBSS)
AA894259_PROBE1	AA894259	hypoxia induced gene 1 (Rn.) (DBSS_weak)
AA894262_PROBE1	AA894262	hypothetical 43.5K protein - mouse (DBSS)
AA894297_PROBE1	AA894297	nuclear receptor co-repressor/HDAC3 complex subunit (Hs.) (DBSS)
AA894305_PROBE1	AA894305	DKFZP566K1924 protein (DBSS)
AA894306_PROBE1	AA894306	ankyrin repeat domain 10 (DBSS)
AA894318_PROBE1	AA894318	RIKEN cDNA B230312A22 (DBSS)
AA894335_PROBE1	AA894335	RIKEN cDNA 5730454B08 (DBSS)
AA899150_PROBE1	AA899150	Similar to prion protein interacting protein (Mm.) (DBSS)
AA899160_PROBE1	AA899160	ESTs
AA899304_PROBE1	AA899304	acetyl-coenzyme A acetyltransferase 1
AA899489_PROBE1	AA899489	ESTs
AA899704_PROBE1	AA899704	Vacuolar protein sorting 16 (mVPS16) (DBSS)
AA899865_PROBE1	AA899865	hypothetical protein FLJ14511; homolog of yeast ALG2 (DBSS)
AA899898_PROBE1	AA899898	ESTs
AA899951_PROBE1	AA899951	RIKEN cDNA 2010001H14 (DBSS)
AA899959_PROBE1	AA899959	14 kDa phosphohistidine phosphatase (DBSS)
AA900046_PROBE1	AA900046	general transcription factor II I repeat domain-containing 1
AA900180_PROBE1	AA900180	ESTs
AA900261_PROBE1	AA900261	C330016H24Rik protein (DBSS)
AA900400_PROBE1	AA900400	acetyl CoA transferase-like (DBSS)
AA900434_PROBE1	AA900434	endothelin receptor type A
AA900562_PROBE1	AA900562	hypothetical protein MGC40107 (DBSS)
AA900654_PROBE1	AA900654	START domain containing 7; GTT1-like (DBSS)
AA900983_PROBE1	AA900983	solute carrier family 17 (anion/sugar transporter), member 5 (Hs.) (DBSS)
AA901066_PROBE1	AA901066	ESTs
AA901337_PROBE1	AA901337	Ets-protein Spi-C (DBSS)
AA901342_PROBE1	AA901342	claudin 11
AA924151_PROBE1	AA924151	Unknown (protein for MGC:72610)
AA924152_PROBE1	AA924152	GDP-mannose pyrophosphorylase A (Hs.) (DBSS_strong)
AA924352_PROBE1	AA924352	START domain containing 7; GTT1-like (DBSS)
AA924526_PROBE1	AA924526	orphan G protein-coupled receptor (DBSS)
AA924533_PROBE1	AA924533	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor (DBSS)
AA924654_PROBE1	AA924654	Clk4 protein (DBSS)
AA924717_PROBE1	AA924717	hypothetical protein BC008163 (DBSS)
AA924724_PROBE1	AA924724	neuronal ceroid lipofuscinosis type 8 (DBSS)
AA924881_PROBE1	AA924881	arginine/serine-rich 14 splicing factor (DBSS)
AA924914_PROBE1	AA924914	protein phosphatase 1, regulatory (inhibitory) subunit 1C (DBSS)
AA924945_PROBE1	AA924945	putative intramembrane cleaving protease (Hs.) (DBSS_moderate)
AA924980_PROBE1	AA924980	Dmap1 protein (DBSS)
AA925167_PROBE1	AA925167	hypothetical protein, estradiol-induced (DBSS)
AA925303_PROBE1	AA925303	interleukin 14 (Mm.) (DBSS)
AA925353_PROBE1	AA925353	lysosomal-associated protein transmembrane 5
AA925375_PROBE1	AA925375	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)
AA925385_PROBE1	AA925385	hypothetical LOC292874
AA925469_PROBE1	AA925469	ESTs
AA925490_PROBE1	AA925490	histidine triad nucleotide binding protein 4
AA925559_PROBE1	AA925559	chromosome 14 open reading frame 21 (DBSS)
AA925922_PROBE1	AA925922	ESTs
AA926279_PROBE1	AA926279	bridging integrator-3 (DBSS)
AA942681_PROBE1	AA942681	MSTP042 (DBSS)
AA942690_PROBE1	AA942690	ESTs
AA942695_PROBE1	AA942695	ESTs
AA942726_PROBE1	AA942726	hypothetical protein FLJ10496 (DBSS)
AA942765_PROBE1	AA942765	ESTs
AA942808_PROBE1	AA942808	ubiquitin-conjugating enzyme E2D 1, UBC4/5 homolog; ubiquitin-conjugating enzyme E2D 1 (DBSS)
AA942949_PROBE1	AA942949	RIKEN cDNA 2900073H19 (DBSS)
AA943011_PROBE1	AA943011	Vps11 protein (DBSS)
AA943094_PROBE1	AA943094	ESTs
AA943100_PROBE1	AA943100	chloride channel 7
AA943114_PROBE1	AA943114	ESTs
AA943126_PROBE1	AA943126	KIAA0738 gene product (DBSS)
AA943135_PROBE1	AA943135	mitofusin 1
AA943149_PROBE1	AA943149	ALEX3 protein (DBSS)
AA943552_PROBE1	AA943552	methylmalonic aciduria type A (DBSS)
AA943564_PROBE1	AA943564	Kua homolog
AA943573_PROBE1	AA943573	large subunit ribosomal protein L36a (DBSS)
AA943576_PROBE1	AA943576	RIKEN cDNA 5730493B19 (Mm.) (DBSS_weak)
AA943578_PROBE1	AA943578	DNA segment, Chr 7, Wayne State University 180, expressed (DBSS)
AA943600_PROBE1	AA943600	hypothetical protein FLJ23514 (DBSS)
AA943734_PROBE1	AA943734	hypothetical protein HSPC242 (DBSS)
AA943742_PROBE1	AA943742	U6 snRNA-associated Sm-like protein LSm3 (MDS017) (DBSS)
AA943752_PROBE1	AA943752	transducer of ERBB2, 1 (Hs.) (DBSS)
AA943764_PROBE1	AA943764	ESTs
AA943765_PROBE1	AA943765	synaptotagmin-like 2 (Mm.) (DBSS)
AA943793_PROBE1	AA943793	G9a protein (Hs.) (DBSS)
AA943794_PROBE1	AA943794	heparan sulfate 6-O-sulfotransferase 1 (Hs.) (DBSS)
AA943811_PROBE1	AA943811	ESTs
AA943815_PROBE1	AA943815	protein kinase inhibitor, gamma
AA943817_PROBE1	AA943817	ESTs
AA943824_PROBE1	AA943824	family with sequence similarity 11 member B (Hs.) (DBSS_strong)
AA943831_PROBE1	AA943831	ubiquitously-expressed transcript isoform 1 (DBSS)
AA943868_PROBE1	AA943868	Bone morphogenetic protein type II receptor (DBSS)
AA943974_PROBE1	AA943974	ESTs
AA943981_PROBE1	AA943981	endoplasmic reticulum membrane protein with at least 3 transmembrane domains of bilaterial origin like (XB300) (DBSS)
AA943995_PROBE1	AA943995	ESTs
AA944006_PROBE1	AA944006	Transcription factor DP-1 (E2F dimerization partner 1) (Mm.) (DBSS_strong)
AA944036_PROBE1	AA944036	PMP34 protein (DBSS)
AA944053_PROBE1	AA944053	LOC362678
AA944061_PROBE1	AA944061	CGI-09 protein (DBSS)
AA944079_PROBE1	AA944079	tubulin, gamma complex associated protein 2 (DBSS)
AA944158_PROBE1	AA944158	4631434O19Rik protein (DBSS)
AA944161_PROBE1	AA944161	Sid3177p (DBSS)
AA944162_PROBE1	AA944162	ESTs
AA944169_PROBE1	AA944169	polymerase (RNA) III (DNA directed) (62kD) (Hs.) (DBSS)
AA944176_PROBE1	AA944176	leucyl-tRNA synthetase (DBSS)
AA944180_PROBE1	AA944180	CDC28 protein kinase regulatory subunit 2 (Mm.) (DBSS_strong)
AA944278_PROBE1	AA944278	Isoleucyl-tRNA synthetase, cytoplasmic (Isoleucine--tRNA ligase) (IleRS) (IRS) (DBSS)
AA944308_PROBE1	AA944308	mKIAA0023 protein (DBSS)
AA944314_PROBE1	AA944314	ESTs
AA944327_PROBE1	AA944327	Protein C11orf5 homolog (Protein FON) (DBSS)
AA944332_PROBE1	AA944332	SNM1 protein (DBSS)
AA944380_PROBE1	AA944380	coenzyme A diphosphatase (DBSS)
AA944398_PROBE1	AA944398	fibulin 2
AA944403_PROBE1	AA944403	basophilic leukemia expressed protein BLES03
AA944438_PROBE1	AA944438	ESTs
AA944449_PROBE1	AA944449	signal recognition particle 68kDa (DBSS)
AA944463_PROBE1	AA944463	ESTs
AA944483_PROBE1	AA944483	ESTs
AA944485_PROBE1	AA944485	kelch-like 12 (Drosophila)
AA944494_PROBE1	AA944494	HCF-1 beta-propeller interacting protein
AA944518_PROBE1	AA944518	ESTs
AA944526_PROBE1	AA944526	hypothetical protein 3010020C06 (DBSS)
AA944542_PROBE1	AA944542	peroxisomal membrane protein 4
AA944549_PROBE1	AA944549	hypothetical protein 6720484B16 (DBSS)
AA944552_PROBE1	AA944552	HSPC230 gene (Hs.) (DBSS_moderate)
AA944556_PROBE1	AA944556	DDM36 (Hs.) (DBSS)
AA944561_PROBE1	AA944561	heat shock 90kDa protein 1, beta
AA944568_PROBE1	AA944568	ESTs
AA944576_PROBE1	AA944576	mKIAA1122 protein (DBSS)
AA944828_PROBE1	AA944828	px19-like protein (DBSS)
AA945062_PROBE1	AA945062	Rho GTPase activating protein 8
AA945069_PROBE1	AA945069	p34SEI-1 (DBSS)
AA945090_PROBE1	AA945090	lectin, galactose binding, soluble 8
AA945099_PROBE1	AA945099	hypothetical protein FLJ11016 (Hs.) (DBSS_weak)
AA945100_PROBE1	AA945100	ESTs
AA945103_PROBE1	AA945103	H1 histone family, member X (Hs.) (DBSS)
AA945149_PROBE1	AA945149	Glutathione S-transferase, theta 3 (DBSS)
AA945183_PROBE1	AA945183	hypothetical gene supported by NM_022857 (Rn.) (DBSS_weak)
AA945202_PROBE1	AA945202	ESTs
AA945320_PROBE1	AA945320	importin alpha Q2 (DBSS)
AA945568_PROBE1	AA945568	ESTs (Non-specific probe)
AA945579_PROBE1	AA945579	RIKEN cDNA 0610010D20 (DBSS)
AA945604_PROBE1	AA945604	dimethylarginine dimethylaminohydrolase 1; NG,NG dimethylarginine dimethylaminohydrolase (DBSS)
AA945634_PROBE1	AA945634	RIKEN cDNA 1100001H23 (DBSS)
AA945696_PROBE1	AA945696	ESTs
AA945706_PROBE1	AA945706	cyclin I (DBSS)
AA945713_PROBE1	AA945713	ESTs
AA945724_PROBE1	AA945724	polyglutamine-containing protein (DBSS)
AA945734_PROBE1	AA945734	putative phosphatase subunit (DBSS)
AA945750_PROBE1	AA945750	ESTs
AA945753_PROBE1	AA945753	Protein arginine N-methyltransferase 2 (Hs.) (DBSS_moderate)
AA945761_PROBE1	AA945761	tripartite motif protein; RIKEN cDNA 2310043C01 gene (DBSS)
AA945763_PROBE1	AA945763	ESTs
AA945765_PROBE1	AA945765	MAP kinase-interacting serine/threonine kinase 1 (MAP kinase signal-integrating kinase 1) (Mnk1) (DBSS)
AA945771_PROBE1	AA945771	small proline rich-like 9 (Mm.) (DBSS_moderate)
AA945824_PROBE1	AA945824	Rho GTPase activating protein 8 (Hs.) (DBSS_moderate)
AA945866_PROBE1	AA945866	Centaurin gamma 2 (DBSS)
AA945869_PROBE1	AA945869	core binding factor beta
AA945882_PROBE1	AA945882	RIKEN cDNA 1300007B12; clone MNCb-2755 (DBSS)
AA945898_PROBE1	AA945898	hypothetical protein
AA945915_PROBE1	AA945915	ESTs
AA946011_PROBE1	AA946011	phosphatidylinositol-4-phosphate 5-kinase, type II, gamma
AA946014_PROBE1	AA946014	RIKEN cDNA 4931406C07 (DBSS)
AA946017_PROBE1	AA946017	hypothetical protein FLJ14146 (DBSS)
AA946019_PROBE1	AA946019	ESTs
AA946032_PROBE1	AA946032	ESTs
AA946049_PROBE1	AA946049	ESTs
AA946074_PROBE1	AA946074	ELK1, member of ETS oncogene family (Hs.) (DBSS)
AA946128_PROBE1	AA946128	ESTs
AA946222_PROBE1	AA946222	p130Cas-binding protein AND34-1 (DBSS)
AA946230_PROBE1	AA946230	ESTs
AA946349_PROBE1	AA946349	diphosphoinositol polyphosphate phosphohydrolase; DIPP (DBSS)
AA946350_PROBE1	AA946350	guanine nucleotide binding protein, alpha inhibiting 1
AA946356_PROBE1	AA946356	p20-CGGBP (DBSS)
AA946357_PROBE1	AA946357	ESTs
AA946375_PROBE1	AA946375	ESTs
AA946382_PROBE1	AA946382	hypothetical protein FLJ10204 (DBSS)
AA946389_PROBE1	AA946389	sex comb on midleg homolog protein (DBSS)
AA946394_PROBE1	AA946394	ESTs
AA946430_PROBE1	AA946430	Aa2-277 (DBSS)
AA946434_PROBE1	AA946434	mannosidase, beta A, lysosomal (DBSS)
AA946441_PROBE1	AA946441	ESTs
AA946467_PROBE1	AA946467	lipopolysaccharide specific response-68 protein (Hs.) (DBSS)
AA946474_PROBE1	AA946474	calpastatin
AA946482_PROBE1	AA946482	ESTs
AA946485_PROBE1	AA946485	oriLyt TD-element binding protein 7 (DBSS)
AA946490_PROBE1	AA946490	ESTs
AA946492_PROBE1	AA946492	ESTs
AA946508_PROBE1	AA946508	murine thymoma viral (v-akt) oncogene homolog 2
AA946518_PROBE1	AA946518	retinoblastoma binding protein 5 (Hs.) (DBSS)
AA955157_PROBE1	AA955157	RIKEN cDNA C920006C10 (DBSS)
AA955172_PROBE1	AA955172	hypothetical protein MGC18000 (DBSS)
AA955175_PROBE1	AA955175	ESTs
AA955206_PROBE1	AA955206	fibrinogen-like 2
AA955213_PROBE1	AA955213	interferon-inducible GTPase (Mm.) (DBSS)
AA955287_PROBE1	AA955287	Ras-related protein R-Ras2 (Ras-like protein TC21) (Teratocarcinoma oncogene) (DBSS)
AA955396_PROBE1	AA955396	Calponin, acidic isoform (Calponin 3) (Calponin, NON-muscle isoform) (DBSS)
AA955527_PROBE1	AA955527	ESTs
AA955579_PROBE1	AA955579	neurotrimin (Hs.) (DBSS)
AA955605_PROBE1	AA955605	alanine aminotransferase 2; glutamic-pyruvate transaminase 2 (Hs.) (DBSS)
AA955616_PROBE1	AA955616	Tax1 (human T-cell leukemia virus type I) binding protein 1 (Hs.) (DBSS)
AA955630_PROBE1	AA955630	PRP4 kinase (DBSS)
AA955786_PROBE1	AA955786	ESTs
AA955926_PROBE1	AA955926	cyclin-dependent kinase 9 (DBSS)
AA956764_PROBE1	AA956764	Rhbdf1 protein (DBSS)
AA956768_PROBE1	AA956768	Protein-tyrosine phosphatase epsilon precursor (R-PTP-epsilon) (Mm.) (DBSS_weak)
AA956784_PROBE1	AA956784	nuclear receptor subfamily 2, group F, member 2
AA957010_PROBE1	AA957010	endothelial-specific receptor tyrosine kinase
AA957047_PROBE1	AA957047	strain Wistar Rap2a mRNA, 5' UTR
AA957492_PROBE1	AA957492	hypothetical protein FLJ14775 (Hs.) (DBSS_weak)
AA957770_PROBE1	AA957770	general transcription factor IIH polypeptide 2 (DBSS)
AA963071_PROBE1	AA963071	nonclathrin coat protein epsilon-COP (DBSS)
AA963094_PROBE1	AA963094	ADENYLOSUCCINATE SYNTHETASE, NON-MUSCLE ISOZYME (IMP--ASPARTATE LIGASE) (ADSS) (AMPSASE) (DBSS)
AA963096_PROBE1	AA963096	hypothetical protein FLJ23451 (DBSS)
AA963234_PROBE1	AA963234	tubulin, epsilon 1; epsilon-tubulin (DBSS)
AA963282_PROBE1	AA963282	RIKEN cDNA 4933408N02 (DBSS)
AA964289_PROBE1	AA964289	RIKEN cDNA 1700009P17 gene (Mm.) (DBSS_moderate)
AA964535_PROBE1	AA964535	parvin, alpha
AA964744_PROBE1	AA964744	KIAA0738 gene product (DBSS)
AA964789_PROBE1	AA964789	testis specific, 14 (Hs.) (DBSS)
AA964824_PROBE1	AA964824	heavy metal-responsiv etranscription factor (DBSS)
AA965057_PROBE1	AA965057	phafin 2 (Hs.) (DBSS)
AA965063_PROBE1	AA965063	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin c1; mammalian chromatin remodeling complex BRG1-associated factor 155 (DBSS)
AA965117_PROBE1	AA965117	hypothetical protein (DBSS)
AA965185_PROBE1	AA965185	ESTs
AA965219_PROBE1	AA965219	Probable RNA-dependent helicase p68 (DEAD-box protein p68) (DEAD-box protein 5) (DBSS)
AA996543_PROBE1	AA996543	v-crk sarcoma virus CT10 oncogene homolog (avian)
AA996628_PROBE1	AA996628	papillary renal cell carcinoma-associated protein (DBSS)
AA996647_PROBE1	AA996647	T17242 hypothetical protein DKFZp586B1417.1 (Hs.) (DBSS_weak)
AA996836_PROBE1	AA996836	ESTs
AA996888_PROBE1	AA996888	E1A-associated protein p300 (Hs.) (DBSS_strong)
AA996961_PROBE1	AA996961	DNA excision repair gene (DBSS)
AA997027_PROBE1	AA997027	ESTs
AA997397_PROBE1	AA997397	embryonal Fyn-associated substrate (DBSS)
AA997412_PROBE1	AA997412	NADH:ubiquinone oxidoreductase MLRQ subunit homolog ( (Hs.) (DBSS_strong)
AA997435_PROBE1	AA997435	5 nucleotidase 1B (DBSS)
AA997458_PROBE1	AA997458	Cysteine-rich protein 2 binding protein (Rn.) (DBSS)
AA997745_PROBE1	AA997745	ESTs (Non-specific probe)
AA997877_PROBE1	AA997877	ESTs
AA997881_PROBE1	AA997881	hypothetical protein FLJ31657 (DBSS)
AA998047_PROBE1	AA998047	hypothetical gene supported by NM_022857 (Rn.) (DBSS_moderate)
AA998138_PROBE1	AA998138	churchill domain containing 1
AA998157_PROBE1	AA998157	PBX/knotted 1 homeobox 2 (Hs.) (DBSS)
AA998160_PROBE1	AA998160	ESTs
AA998252_PROBE1	AA998252	T12543 hypothetical protein DKFZp434M154.1 (Hs.) (DBSS)
AA998260_PROBE1	AA998260	ESTs
AA998435_PROBE1	AA998435	RIKEN cDNA 2210412K09 (DBSS)
AA998468_PROBE1	AA998468	Ac2-032 (DBSS)
AA998660_PROBE1	AA998660	sorbin and SH3 domain containing 1 (Hs.) (DBSS)
AA998662_PROBE1	AA998662	neuropilin (NRP) and tolloid (TLL)-like 2 (Hs.) (DBSS)
AA998893_PROBE1	AA998893	cyclin C (DBSS)
AA998964_PROBE1	AA998964	hypothetical protein FLJ20073 (Hs.) (DBSS_moderate)
AA998971_PROBE1	AA998971	eukaryotic translation initiation factor 4E nuclear import factor 1 (Mm.) (DBSS_strong)
AA999042_PROBE1	AA999042	Leucine-rich repeat-containing 8 (DBSS)
AB000113_PROBE1	AB000113	solute carrier family 7, member 3
AB000199_PROBE1	AB000199	CCA2 protein
AB000215_PROBE1	AB000215	sphingomyelin phosphodiesterase 3, neutral
AB000216_PROBE1	AB000216	ankyrin repeat and BTB (POZ) domain containing 2
AB000489_PROBE1	AB000489	solute carrier family 20 (phosphate transporter), member 1
AB000491_PROBE1	AB000491	proteasomal ATPase (SUG1)
AB000776_PROBE1	AB000776	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
AB001075_PROBE1	AB001075	lectin, galactoside-binding, soluble, 2 (galectin 2)
AB001089_PROBE1	AB001089	adenosine A1 receptor
AB001321_PROBE1	AB001321	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2
AB001982_PROBE1	AB001982	growth hormone secretagogue receptor
AB002111_PROBE1	AB002111	peroxisomal biogenesis factor 12
AB002151_PROBE1	AB002151	scavenger receptor class B, member 1
AB002406_PROBE1	AB002406	RuvB-like protein 1
AB002466_PROBE1	AB002466	lamin B receptor
AB002584_PROBE1	AB002584	alanine-glyoxylate aminotransferase 2
AB002801_PROBE1	AB002801	cyclic nucleotide gated channel alpha 3
AB003042_PROBE1	AB003042	complement component 5, receptor 1
AB003400_PROBE1	AB003400	D-amino acid oxidase
AB003478_PROBE1	AB003478	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4
AB003587_PROBE1	AB003587	potassium voltage gated channel, Shal-related family, member 3
AB004329_PROBE1	AB004329	acetyl-Coenzyme A carboxylase beta
AB005052_PROBE1	AB005052	huntingtin interacting protein 1 related
AB005549_PROBE1	AB005549	three-PDZ containing protein C. elegans PAR3 (partitioning defect) (DBSS)
AB005900_PROBE1	AB005900	oxidised low density lipoprotein (lectin-like) receptor 1
AB006137_PROBE1	AB006137	fucosyltransferase 1
AB006450_PROBE1	AB006450	translocator of inner mitochondrial membrane 17a (yeast)
